id,benchmark_name,test_case,value,lowerBound,upperBound,ci,platform,commit,source
127,Observable subscribe,Dynamic observable subscribe specific observer,193.102,192.102,195.188,0.95,Windows MSVC,add area (7bed3923),rpp
128,Observable subscribe,Dynamic observable subscribe dynamic observer,126.919,126.606,127.48,0.95,Windows MSVC,add area (7bed3923),rpp
129,Observable lift,Specific observable lift specific observer,147.327,146.47,149.595,0.95,Windows MSVC,add area (7bed3923),rpp
130,Observable lift,Specific observable lift dynamic observer,176.664,176.207,177.543,0.95,Windows MSVC,add area (7bed3923),rpp
131,Observable lift,Dynamic observable lift specific observer,249.49,248.451,251.686,0.95,Windows MSVC,add area (7bed3923),rpp
132,Observable lift,Dynamic observable lift dynamic observer,218.853,217.789,221.321,0.95,Windows MSVC,add area (7bed3923),rpp
133,Observable construction,Specific observable construction,0.787042,0.773584,0.803377,0.95,Linux GCC,add area (7bed3923),rpp
134,Observable construction,Dynamic observable construction,24.3733,24.3114,24.58,0.95,Linux GCC,add area (7bed3923),rpp
135,Observable construction,Specific observable construction + as_dynamic,23.7494,23.7066,23.8379,0.95,Linux GCC,add area (7bed3923),rpp
136,Observer construction,Specific observer construction,0.701621,0.676751,0.730396,0.95,Linux GCC,add area (7bed3923),rpp
137,Observer construction,Dynamic observer construction,22.1303,21.6838,23.2436,0.95,Linux GCC,add area (7bed3923),rpp
138,Observer construction,Specific observer construction + as_dynamic,23.0816,22.8956,23.4514,0.95,Linux GCC,add area (7bed3923),rpp
139,OnNext,Specific observer OnNext,0.403195,0.398443,0.411668,0.95,Linux GCC,add area (7bed3923),rpp
140,OnNext,Dynamic observer OnNext,2.42466,2.39687,2.47417,0.95,Linux GCC,add area (7bed3923),rpp
141,Subscriber construction,Make subsriber,28.5793,28.1621,29.2495,0.95,Linux GCC,add area (7bed3923),rpp
142,Subscriber construction,Make copy of subscriber,4.25631,4.17823,4.35983,0.95,Linux GCC,add area (7bed3923),rpp
143,Subscriber construction,Transform subsriber to dynamic,28.9978,28.692,29.559,0.95,Linux GCC,add area (7bed3923),rpp
144,Observable subscribe,Specific observable subscribe specific observer,27.289,26.8105,27.9502,0.95,Linux GCC,add area (7bed3923),rpp
145,Observable subscribe,Specific observable subscribe dynamic observer,33.1026,32.4606,33.9549,0.95,Linux GCC,add area (7bed3923),rpp
146,Observable subscribe,Dynamic observable subscribe specific observer,63.1009,61.5387,65.4201,0.95,Linux GCC,add area (7bed3923),rpp
147,Observable subscribe,Dynamic observable subscribe dynamic observer,37.3494,36.8102,38.5135,0.95,Linux GCC,add area (7bed3923),rpp
148,Observable lift,Specific observable lift specific observer,32.4659,31.821,33.4668,0.95,Linux GCC,add area (7bed3923),rpp
149,Observable lift,Specific observable lift dynamic observer,40.697,40.5549,40.9731,0.95,Linux GCC,add area (7bed3923),rpp
150,Observable lift,Dynamic observable lift specific observer,72.3935,70.6455,75.8361,0.95,Linux GCC,add area (7bed3923),rpp
151,Observable lift,Dynamic observable lift dynamic observer,54.095,53.1265,55.7791,0.95,Linux GCC,add area (7bed3923),rpp
152,Observable construction,Specific observable construction,1.23451,1.21352,1.27643,0.95,Linux CLANG,add area (7bed3923),rpp
153,Observable construction,Dynamic observable construction,25.6622,25.5974,25.7869,0.95,Linux CLANG,add area (7bed3923),rpp
154,Observable construction,Specific observable construction + as_dynamic,24.875,24.8066,24.9974,0.95,Linux CLANG,add area (7bed3923),rpp
155,Observer construction,Specific observer construction,1.20653,1.20492,1.21281,0.95,Linux CLANG,add area (7bed3923),rpp
156,Observer construction,Dynamic observer construction,25.6364,25.5949,25.6709,0.95,Linux CLANG,add area (7bed3923),rpp
157,Observer construction,Specific observer construction + as_dynamic,24.8397,24.7595,25.0043,0.95,Linux CLANG,add area (7bed3923),rpp
158,OnNext,Specific observer OnNext,0.805321,0.803482,0.813235,0.95,Linux CLANG,add area (7bed3923),rpp
159,OnNext,Dynamic observer OnNext,2.41414,2.40944,2.43531,0.95,Linux CLANG,add area (7bed3923),rpp
160,Subscriber construction,Make subsriber,27.1961,27.1019,27.3523,0.95,Linux CLANG,add area (7bed3923),rpp
161,Subscriber construction,Make copy of subscriber,5.30502,5.29231,5.35805,0.95,Linux CLANG,add area (7bed3923),rpp
162,Subscriber construction,Transform subsriber to dynamic,29.3681,29.2537,29.4921,0.95,Linux CLANG,add area (7bed3923),rpp
163,Observable subscribe,Specific observable subscribe specific observer,33.5533,33.4125,33.7919,0.95,Linux CLANG,add area (7bed3923),rpp
164,Observable subscribe,Specific observable subscribe dynamic observer,37.7539,37.4891,38.2735,0.95,Linux CLANG,add area (7bed3923),rpp
165,Observable subscribe,Dynamic observable subscribe specific observer,65.4299,65.2277,65.9218,0.95,Linux CLANG,add area (7bed3923),rpp
166,Observable subscribe,Dynamic observable subscribe dynamic observer,39.529,39.4114,39.724,0.95,Linux CLANG,add area (7bed3923),rpp
167,Observable lift,Specific observable lift specific observer,37.3124,37.1563,37.5764,0.95,Linux CLANG,add area (7bed3923),rpp
168,Observable lift,Specific observable lift dynamic observer,46.4724,46.3363,46.7397,0.95,Linux CLANG,add area (7bed3923),rpp
169,Observable lift,Dynamic observable lift specific observer,68.3464,68.1389,68.8194,0.95,Linux CLANG,add area (7bed3923),rpp
170,Observable lift,Dynamic observable lift dynamic observer,53.1233,53.0034,53.5296,0.95,Linux CLANG,add area (7bed3923),rpp
171,Observable construction,Specific observable construction,0.80566,0.803919,0.809591,0.95,Windows MSVC,make more beautiful (d09041d2),rpp
172,Observable construction,Dynamic observable construction,103.182,99.1299,114.234,0.95,Windows MSVC,make more beautiful (d09041d2),rpp
